LCOV;1 AngDRC;2 Argentina;3 Bolivia;4 Brasil;5 Colombia;6 Ghana;7 IvoryCoast;8 Indonesia;9 Madagascar;10 Malasya;11 Mozambique;12 Myanmar;13 Nigeria;14 Paraguay;15 Peru;16 Uruguay;17 Venezuela;18 NewZealand;19 Oceania;20 China;21 Japan;22 Korea;23 India;24 EastAsia;25 SEAsia;26 SouthAsia;27 US;28 Canada;29 Mexico;30 LatinAmer;31 EU27;32 UK;33 Russia;34 EFTA;35 MENA;36 SSA;37 RestofWorld;Total;
1 New18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.922;0;0;0;0;0;0;0;0;0;0;0;0;64.209;0;0;0;0;69.131;
2 New17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.018;0;0;0;0;0;0;0;11.018;
3 New16;0;12.102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;203.036;63.352;0.767;0;0;0;0;0;0;14.010;33.974;0;87.265;0;0.741;0;3.815;0;0;0;419.062;
4 New15;0;801.753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.272;0;4938.085;94.981;0;0;3033.247;0;0;3920.915;435.395;0;1034.266;124.352;0;32950.277;126.938;29.144;0;18.031;47517.656;
5 New14;0;208.077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.050;0;0;4505.016;0;0;164.863;63.481;0;2618.072;370.040;0;52107.379;914.234;17.374;0;2030.126;63004.712;
6 New13;0;390.273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1243.481;0;0;0;18.636;0;1.053;13.961;0;0;204.289;6.557;0;438.840;0;4.847;0;363.863;2685.798;
7 New12;569.424;8189.288;123.815;10493.295;1678.970;0;0;2668.415;758.248;0;0;44.010;0;536.291;1917.621;2892.433;330.565;5401.722;3598.078;7937.099;0;0;2338.671;46.784;808.294;599.469;876.857;0;28.048;1969.079;1905.996;0;0;0;100.442;1066.189;5.180;56884.281;
8 New11;286.583;2353.930;111.921;754.088;109.360;0;0;0;121.675;0;0;186.067;5.342;0;1362.178;0;117.901;1348.002;4295.240;3860.477;24.001;0;118.878;0;14.372;82.545;3033.702;0;288.489;505.253;3027.363;0;42.427;0;140.149;5969.469;178.812;28338.226;
9 New10;815.568;6663.454;406.923;6.684;0;0;0;0;119.479;0;186.657;50.119;4.542;0;1420.050;0;7.291;1432.707;7847.570;5297.638;186.717;17.667;941.432;112.892;0;582.793;16354.596;303.362;1193.174;1254.909;4232.995;1.465;363.710;14.967;2549.478;13771.450;1310.772;67451.060;
10 New9;2351.176;16511.041;1970.744;0;4.084;0;0;0;12.741;0;67.496;21.822;0;0;1978.422;0;0;183.743;6597.139;5261.837;44.639;0;712.964;462.365;0;927.815;5494.431;1612.956;1426.894;260.348;5600.514;0;12685.501;9.501;6505.892;11283.768;2779.179;84767.011;
11 New8;694.200;8848.822;3906.591;0;12.559;0;0;0;0;0;0;0;0;0;2443.149;0;1.729;0;9796.979;913.080;0;0;260.498;1710.457;0;1822.819;21993.197;5267.960;4252.230;472.679;460.173;0;19575.645;6.465;19245.594;9265.621;25081.695;136032.144;
12 New7;0;14745.840;1029.020;0;0;0;0;0;0;0;0;0;0;0;1237.901;0;0;0;45229.129;4097.259;0;0;0;5917.305;0;1713.769;5002.078;0;1828.294;2189.560;7.075;0;0;0;1663.769;2874.422;6866.832;94402.251;
13 New6;4064.661;217.447;67.915;7418.419;3503.233;235.155;926.265;5986.877;1199.443;15.441;0;0;461.651;942.602;339.696;0;1207.703;0;4080.020;235.955;0;0;0;6.112;955.616;0;0;0;219.246;997.208;0;0;0;0;0;7055.253;0;40135.920;
14 New5;15752.344;265.261;892.413;58854.164;3349.083;499.660;1736.906;265.904;449.985;0;1842.431;1218.515;1926.369;1908.936;32.988;0;6231.380;0;524.217;276.916;0;0;17.476;0;2936.097;4.257;436.073;0;518.142;1700.367;0;0;0;0;0;53090.125;0;154730.008;
15 New4;7830.294;444.810;5422.104;24116.082;70.418;1284.261;88.433;1178.504;1145.882;0;11768.259;2325.299;3594.405;3383.771;60.335;0;9895.230;0;6012.488;0;0;0;5110.035;0;2009.792;0;339.065;0;1890.568;2103.434;0;0;0;0;0;79390.383;0;169463.852;
16 New3;11962.066;347.529;396.712;1198.406;139.058;445.537;26.082;0;2508.925;0;6054.412;0;4463.837;1844.268;80.269;0;283.973;0;45347.082;0;0;0;9609.064;0;0;0;0;0;2698.524;145.045;0;0;0;0;0;118137.031;0;205687.823;
17 New2;8264.418;0;0;8.331;47.637;0;0;0;215.535;0;1189.340;0;1990.164;173.081;80.185;0;136.147;0;15970.764;0;0;0;561.986;0;0;0;0;0;233.483;14.239;0;0;0;0;0;53567.121;0;82452.429;
18 New1;0;0;0;0;20.980;0;0;0;0;0;587.792;0;223.799;0;639.116;0;24.312;0;9534.889;0;0;0;0;0;0;0;0;0;283.541;0;0;0;0;0;9.707;30418.723;0;41742.859;
Total;52590.734;59999.627;14328.158;102849.470;8935.384;2464.613;2777.687;10099.700;6531.913;15.441;21696.386;3845.831;12670.109;8788.949;11591.910;2892.433;18236.231;8579.480;158896.946;34067.516;356.388;17.667;19671.003;15812.814;6724.169;5734.522;57643.748;7717.127;14860.633;15567.031;15735.065;2.206;118227.987;1075.919;30266.396;385889.556;38634.489;1275795.239;
