LCOV;1 AngDRC;2 Argentina;3 Bolivia;4 Brasil;5 Colombia;6 Ghana;7 IvoryCoast;8 Indonesia;9 Madagascar;10 Malasya;11 Mozambique;12 Myanmar;13 Nigeria;14 Paraguay;15 Peru;16 Uruguay;17 Venezuela;18 NewZealand;19 Oceania;20 China;21 Japan;22 Korea;23 India;24 EastAsia;25 SEAsia;26 SouthAsia;27 US;28 Canada;29 Mexico;30 LatinAmer;31 EU27;32 UK;33 Russia;34 EFTA;35 MENA;36 SSA;37 RestofWorld;Total;
1 New18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.089;0;1.635;0;0;1.724;
2 New17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3 New16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.187;0;0;0;0;0;0;1.423;0;0.711;0.046;0.023;0;0.135;0;0;0;2.525;
4 New15;0;6.229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82.246;0.153;0;0;5.759;0;0;7.089;34.237;0;1.243;23.300;0;510.881;11.205;0;0;0.028;682.370;
5 New14;0;1.297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.316;0;0;0;39.618;0;0;2.256;3.721;0;2.369;0.168;0;60.965;0.100;0;0;2.818;125.628;
6 New13;0;0.125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.048;0;0;0;6.878;0;0;0;0.040;0;0;0.090;0;0;0;0.055;0;0.273;10.509;
7 New12;8.171;481.688;0.146;1246.205;124.935;0;0;0.576;5.738;0;0;0;0;56.437;8.186;91.766;13.137;67.480;76.873;2307.500;1091.514;3.868;37.069;161.219;104.815;31.660;1702.097;0;4.399;91.501;191.313;18.976;3.760;1.032;135.214;9.839;37.507;8114.621;
8 New11;0;179.012;0.101;53.251;0.148;0;0;0.250;7.023;0;0;8.136;0.151;0;12.588;0;7.736;12.931;377.206;1058.943;398.588;378.139;28.898;14.804;6.090;27.245;2439.970;29.750;7.536;83.885;3065.199;550.957;18.839;54.425;159.327;46.551;61.327;9089.006;
9 New10;2.686;191.917;5.664;0;0;0;0;0;0;0;2.696;0;0;0;8.081;0;0;0.504;207.750;1563.180;175.232;19.333;92.500;119.888;0;99.930;3958.409;514.576;188.256;133.852;4455.318;226.926;562.792;93.728;605.475;158.334;614.929;14001.956;
10 New9;11.302;313.517;65.918;0;0;0;0;0;0;0;0;0;0;0;30.585;0;0;0.037;65.262;1973.441;0.391;0;632.504;10.713;0;124.459;1321.321;110.524;131.905;140.835;1319.826;0;930.217;1.121;705.547;208.156;820.214;8917.795;
11 New8;0.220;188.122;31.846;0;0;0;0;0;0;0;0;0;0;0;20.646;0;0;0;45.599;302.806;0;0;256.072;10.367;0;177.719;1148.650;86.529;142.122;18.460;42.429;0;435.788;0.049;762.844;426.405;1628.663;5725.336;
12 New7;0;288.442;1.352;0;0;0;0;0;0;0;0;0;0;0;166.754;0;0;0;15.165;315.843;0;0;20.035;25.795;0;148.851;543.965;0;69.386;66.038;0;0;0;0.003;1141.343;30.734;331.031;3164.737;
13 New6;53.565;4.935;3.368;963.769;135.987;36.545;62.366;763.804;3.952;239.615;0;0;17.006;55.742;38.819;0;28.624;0;14.850;7.075;0.319;0;0;19.000;192.372;16.930;0;0;13.429;178.518;0;0;0;0;0.115;94.084;0;2944.789;
14 New5;123.090;1.697;49.778;1249.943;71.958;42.272;55.271;217.824;1.582;0;1.042;28.645;221.787;7.388;2.848;0;232.247;0;3.611;22.249;0;0;82.903;53.172;412.672;36.080;212.772;0;17.656;149.247;0;0;0;0;0;123.298;0;3421.032;
15 New4;68.567;8.156;24.870;183.724;42.561;32.218;10.007;20.239;2.037;0;64.907;113.479;79.680;4.898;1.998;0;116.237;0;0.787;3.635;0;0;588.114;0;401.504;34.879;1.097;0;40.371;106.217;0;0;0;0;0;139.179;0;2089.361;
16 New3;4.808;10.824;7.043;47.281;6.190;2.073;0.824;6.383;2.233;0;7.362;0.253;65.973;9.360;5.752;0;68.117;0;19.672;0;0;0;1124.700;0;0;0.650;0;0;73.315;34.515;0;0;0;0;0;166.176;0;1663.504;
17 New2;4.839;0;0;14.815;0.062;0;0;0;0.877;0;0.658;0;62.641;2.585;7.167;0;13.873;0;2.461;0;0;0;178.688;0;0;0;0;0;5.448;0.711;0;0;0;0;0;187.202;0;482.027;
18 New1;0;0;0;0;0.126;0;0;0;0;0;0.224;0;0.711;0;81.718;0;5.895;0;12.616;0;0;0;0.078;0;0;63.469;0;0;7.526;0;0;0;0;0;215.720;249.329;0;637.412;
Total;277.248;1675.961;190.086;3758.988;381.967;113.108;128.468;1009.076;23.442;239.615;76.889;150.513;447.949;136.410;385.142;91.766;485.866;80.952;841.852;7652.282;1666.384;401.340;3041.561;467.213;1117.453;761.872;11337.626;780.800;701.349;1008.102;9097.689;796.882;2523.331;161.798;3727.275;1839.287;3496.790;61074.332;
