LCOV;1 AngDRC;2 Argentina;3 Bolivia;4 Brasil;5 Colombia;6 Ghana;7 IvoryCoast;8 Indonesia;9 Madagascar;10 Malasya;11 Mozambique;12 Myanmar;13 Nigeria;14 Paraguay;15 Peru;16 Uruguay;17 Venezuela;18 NewZealand;19 Oceania;20 China;21 Japan;22 Korea;23 India;24 EastAsia;25 SEAsia;26 SouthAsia;27 US;28 Canada;29 Mexico;30 LatinAmer;31 EU27;32 UK;33 Russia;34 EFTA;35 MENA;36 SSA;37 RestofWorld;Total;
1 New18;0;33.155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1888.374;0;0;0;0;0;0;2254.656;56401.734;0;331.571;34.797;0;18299.586;304.600;64.197;0;291.845;79904.515;
2 New17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.629;0;0;0;0;0;0;0;5.629;
3 New16;0;8.403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;298.721;0;0;0;3.815;0;0;0;310.939;
4 New15;0;943.029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.739;0;0;6912.884;2903.335;0;1195.453;40.214;0;2221.947;1117.177;18.992;0;44.153;15406.924;
5 New14;0;138.189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;370.517;0;0;21266.672;104952.977;0;1172.365;1824.358;0;164471.516;9978.478;13.629;0;2068.395;306257.095;
6 New13;0;374.545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11138.587;0;0;0;43.437;0;0;5370.970;99893.844;0;840.979;62.337;0;36544.824;689.795;3.448;0;4314.341;159277.108;
7 New12;14.717;2089.026;596.324;32.006;245.615;0;0;0;6.529;0;0;0;0;0;1945.050;0;56.723;0.084;0;12705.009;0;0;6118.363;57.074;0;5719.175;0;0;0;8284.125;5.450;0;0;34.634;105457.156;20190.279;101.008;163658.347;
8 New11;0;11.533;8.527;0;2.595;0;0;0;0;0;0;0;0;0;143.829;0;18.248;6.657;0;97.113;0;0;0;0;0;0;0;0;0;187.880;5.297;0;2.121;0;0;9.160;34.883;527.843;
9 New10;0;482.934;30.163;0;0;0;0;0;0;0;0;21.781;0;0;229.990;0;7.659;18.282;0;879.763;0;0;28.506;0;0;118.661;14.068;43.818;0;180.733;33.008;0;647.374;0;310.697;53.643;621.772;3722.851;
10 New9;0;2261.268;473.854;0;4.379;0;0;0;0;0;0;71.745;0;0;356.138;0;0;32.036;0;2009.193;3.447;0;197.546;0;0;613.033;13.520;13.512;4.769;140.769;199.273;0;1592.825;24.796;971.589;10.055;258.681;9252.428;
11 New8;274.871;3032.543;5079.806;0;0;0;0;0;0;0;0;0;0;0;1415.284;0;0;6.019;15.181;18157.164;0;0;1854.739;2.169;0;2463.478;611.278;16.874;0;1121.005;302.200;0;620.657;54.708;17780.605;52.131;1970.592;54831.304;
12 New7;347.829;6284.733;2501.586;0;0;0;0;0;0;0;0;0;0;0;8490.075;0;0;0;1555.691;130890.047;0;0;4392.461;11995.036;0;29128.543;898.743;0;150.164;14298.323;33.767;0;0;20.614;401595.938;58931.977;21351.404;692866.929;
13 New6;461.142;0;0;162.746;164.485;0;0;0;15.724;0;0;0;0;0;0;0;79.326;0;0;0;0;0;0;0;6.803;0;0;0;0;157.957;0;0;0;0;20380.625;14814.249;0;36243.056;
14 New5;137.262;0;17.597;254.286;0;12.077;57.355;0;0;0;7.916;0;10.984;0;0;0;133.969;0;0;0;0;0;0;0;31.531;0;0;0;0;15.162;0;0;0;0;0;175.188;0;853.326;
15 New4;146.479;0;0;109.061;14.058;2.128;0;0;1.247;0;33.123;4.907;2.022;0;0;0;52.656;0;0;0;0;0;6.732;0;17.992;0;0;0;4.937;36.295;0;0;0;0;0;246.412;0;678.048;
16 New3;3.664;0;3.752;169.497;26.181;0;0;0;11.726;0;273.491;0;4.501;0;4.624;0;140.971;0;0;0;0;0;21.144;0;0;0;0;0;0;19.098;0;0;0;0;0;610.473;0;1289.121;
17 New2;30.386;0;0;0;260.639;0;0;0;0;0;0;0;168.072;0;97.020;0;194.880;0;0;0;0;0;763.858;0;0;0;0;0;0;7.666;0;0;0;0;0;5998.562;0;7521.083;
18 New1;0;0;0;0;72.388;0;0;0;0;0;0;0;181.916;0;1939.635;0;10.126;0;0.756;0;0;0;234.582;0;0;3728.403;0;0;0;0;0;0;0;0;115777.367;276570.188;0;398515.360;
Total;1416.351;15659.356;8711.608;727.594;790.341;14.205;57.355;0;35.225;0;314.529;98.433;367.493;0;14621.645;0;694.558;63.080;1571.628;177765.249;3.447;0;13617.932;12477.973;56.325;41771.293;37342.791;264226.094;159.870;28293.731;2540.701;0;224400.850;12228.615;662374.244;377662.315;31057.075;1931121.906;
