AREA;1 AngDRC;2 Argentina;3 Bolivia;4 Brasil;5 Colombia;6 Ghana;7 IvoryCoast;8 Indonesia;9 Madagascar;10 Malasya;11 Mozambique;12 Myanmar;13 Nigeria;14 Paraguay;15 Peru;16 Uruguay;17 Venezuela;18 NewZealand;19 Oceania;20 China;21 Japan;22 Korea;23 India;24 EastAsia;25 SEAsia;26 SouthAsia;27 US;28 Canada;29 Mexico;30 LatinAmer;31 EU27;32 UK;33 Russia;34 EFTA;35 MENA;36 SSA;37 RestofWorld;Total;
1 New18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.012;
2 New17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3 New16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.017;0.044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;0.062;
4 New15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.576;31.453;0;0;19.945;0;0;0;0;0;0;0.647;0;63.248;0;0.091;0;0.032;119.992;
5 New14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.453;1.603;0;0;1.127;0;0;0;0;0;0;0.021;0;0.520;0;0.008;0;5.068;9.799;
6 New13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.002;0;0;0;0;0;0.017;0;0;0;0;0;0;0;0;0;0;2.531;5.550;
7 New12;144.481;200.776;0.207;918.683;115.252;0;0;77.799;98.707;1.536;0;18.048;0;78.983;51.198;167.400;4.503;0;0.028;22223.258;403.043;20.401;635.476;182.671;1567.900;91.798;305.780;0;0.137;16.201;1.417;0;0;0;43.466;14.141;0;27383.291;
8 New11;55.773;35.841;1.334;7.721;1.327;0;0;18.542;54.191;0;0;243.641;2.234;0;43.463;0;1.421;0;0.685;5068.195;750.839;729.966;2303.667;43.574;63.965;389.677;608.816;0;0.192;24.067;230.449;0;0;0;58.915;36.918;0.011;10775.424;
9 New10;1.980;5.322;2.908;0.059;0;0;0;0.432;10.991;0;1.134;5.806;0.221;0;33.225;0;0.000;0;13.035;1434.719;345.475;65.139;3324.213;441.025;0.289;2803.351;205.653;0;2.045;68.693;144.670;0;27.753;0;91.828;114.852;3.733;9148.549;
10 New9;3.232;0.733;14.787;0;0.449;0;0;0.242;0;0;0.001;0.554;0;0;51.429;0;0;0;22.311;1210.405;42.490;0;9984.826;23.284;0;596.664;65.068;0;1.603;7.128;47.912;0;56.406;0;204.556;9.424;16.392;12359.895;
11 New8;1.043;0.318;4.692;0;0.001;0;0;0;0;0;0;0;0;0;69.619;0;0.000;0;39.348;106.561;0;0;1186.891;0;0;577.007;1.042;0;0;0.268;3.564;0;47.625;0;216.202;2.899;168.667;2425.746;
12 New7;0.014;0.168;0.089;0;0.018;0;0;0;0;0;0;0;0;0;32.741;0;0;0;1.313;86.304;0;0;18.048;0;0;1829.850;0.034;0;0;0.548;0.023;0;0;0;692.146;0.069;108.105;2769.470;
13 New6;190.755;0.016;3.850;213.015;295.373;23.428;156.916;10805.774;469.474;613.043;0;0;56.634;33.663;50.999;0;5.187;0;0.287;204.115;0.052;0;0;40.134;4256.668;365.753;0;0;6.359;444.746;0;0;0;0;0;139.904;0;18376.144;
14 New5;932.323;0.005;26.618;815.531;46.154;75.352;349.609;2556.461;118.611;0;61.759;687.378;957.791;1.789;2.722;0;170.241;0;0.030;235.777;0;0;957.541;45.252;10793.170;6032.527;0.567;0;10.458;379.399;0;0;0;0;0;1401.912;0;26658.976;
15 New4;38.984;0.021;111.246;346.623;2.380;98.490;333.367;262.905;163.840;0;287.680;5938.889;1233.816;3.820;2.959;0;45.234;0;0.062;2.525;0;0;14445.880;0;10355.175;4119.299;0;0;8.665;277.237;0;0;0;0;0;2213.277;0;40292.376;
16 New3;2.952;0.000;9.196;37.271;0.318;26.730;5.907;75.151;59.654;0;24.980;3.711;372.040;1.480;6.661;0;0.011;0;0;0;0;0;11028.529;0;0;20.790;0;0;11.183;16.294;0;0;0;0;0;818.691;0;12521.550;
17 New2;1.388;0;0;1.975;0.001;0;0;0;1.046;0;0.947;0;447.454;0.264;10.423;0;0.000;0;0;0;0;0;224.929;0;0;0;0;0;0;4.839;0;0;0;0;0;387.781;0;1081.048;
18 New1;0;0;0;0;0.000;0;0;0;0;0;0;0;11.732;0;25.929;0;0.000;0;0;0;0;0;0;0;0;87.866;0;0;0;0.443;0;0;0;0;0;316.364;0;442.334;
Total;1372.924;243.200;174.925;2340.878;461.273;224.000;845.799;13797.307;976.515;614.579;376.500;6898.027;3081.923;120.000;381.368;167.400;226.597;0;77.099;30580.920;1575.000;815.506;44110.001;797.011;27037.166;16914.598;1186.960;0;40.642;1239.864;428.701;0;195.552;0;1307.211;5456.232;304.539;164370.217;
