AREA;1 AngDRC;2 Argentina;3 Bolivia;4 Brasil;5 Colombia;6 Ghana;7 IvoryCoast;8 Indonesia;9 Madagascar;10 Malasya;11 Mozambique;12 Myanmar;13 Nigeria;14 Paraguay;15 Peru;16 Uruguay;17 Venezuela;18 NewZealand;19 Oceania;20 China;21 Japan;22 Korea;23 India;24 EastAsia;25 SEAsia;26 SouthAsia;27 US;28 Canada;29 Mexico;30 LatinAmer;31 EU27;32 UK;33 Russia;34 EFTA;35 MENA;36 SSA;37 RestofWorld;Total;
1 New18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.218;0;0;0;0;0;0;0;0;0;0.008;0.024;0;0;0;0.567;0;0;0.817;
2 New17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.026;0;0;0;0;0;0;0;0.026;
3 New16;0;0.012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003;0.681;0.043;0;0;0;0;0;0;25.273;0;0.753;0.213;2.483;0;3.953;0;0;0.077;33.491;
4 New15;0;0.010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.015;0.006;205.380;16.898;0;0;57.484;0;0;0.003;400.773;0;2.585;256.738;0.159;1469.806;40.145;3.830;0;2.738;2456.570;
5 New14;0;0.730;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94.967;1.560;0;0;146.139;0;0;13.144;125.671;0;6.095;1.593;0;192.627;0.687;8.926;0;203.010;795.150;
6 New13;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82.518;0;0;0;8.695;0;0.205;0.239;0;0;0.047;0.024;0;15.489;0.082;0.252;0;81.018;188.569;
7 New12;0.115;574.564;0.415;2069.563;2.189;0;0;0;0.107;0;0;0.529;0;397.358;19.004;399.000;0.001;33.004;16.848;3694.638;41.053;0.180;326.902;0;0;318.732;456.894;0;1.203;62.937;786.430;78.385;0;0.032;461.562;9.984;8.930;9760.559;
8 New11;0.054;1126.890;0.628;0.434;0.000;0;0;0;0.060;0;0.001;7.813;0.010;0;16.149;0;0.000;10.955;172.550;5566.190;36.066;6.427;322.113;4.475;0.000;514.350;1069.582;0.362;6.395;35.641;4134.035;840.895;20.343;14.237;166.974;491.489;88.713;14653.831;
9 New10;0.354;889.684;1.985;0.416;0;0;0;0;0.013;0;0.407;0.174;0.001;0;11.986;0;0.000;3.898;1105.750;7084.236;100.675;0.574;1982.116;25.197;0.000;1354.632;1959.491;379.324;67.255;103.166;13636.023;1013.815;1034.735;104.210;5096.347;439.127;3375.303;39770.893;
10 New9;0.508;620.841;41.311;0;0.005;0;0;0;0;0;0.298;0.016;0;0;19.065;0;0;0.061;4505.947;5647.107;16.305;0;15701.948;48.252;0;1410.983;1846.812;2006.054;135.297;30.042;5889.680;0;7607.929;2.043;7233.019;349.497;2242.195;55355.216;
11 New8;0.164;237.563;22.483;0;0.000;0;0;0;0;0;0;0;0;0;25.837;0;0.000;0;6428.524;880.559;0;0;5150.788;25.969;0;2911.918;12780.517;6542.644;274.746;8.801;94.653;0;13566.844;0.405;8916.391;288.405;16524.984;74682.194;
12 New7;0.002;1.236;2.712;0;0;0;0;0;0;0;0;0;0;0;12.150;0;0;0;382.222;796.998;0;0;300.226;7.244;0;6069.577;644.869;0;62.854;7.584;0.326;0;0;0.135;2715.460;28.281;733.980;11765.853;
13 New6;0.227;0.029;0.720;675.857;1.964;0;0;0;0.840;0;0;0;0;158.650;18.892;0;0.002;0;0;2.593;0.000;0;0;0;0.088;0;0;0;15.477;1.287;0;0;0;0;0;6.733;0;883.361;
14 New5;2.732;0.090;5.501;75.711;0.229;0;0;0;0.389;0;0.497;19.687;0.128;0.196;1.010;0;0.027;0;0.001;14.373;0;0;19.353;0;0.223;115.258;0;0;5.767;2.445;0;0;0;0;0;79.580;0;343.197;
15 New4;4.502;0.067;64.937;11.121;0.000;0;0;0;0.520;0;10.829;70.523;2.923;3.480;1.010;0;0.022;0;0.712;1.170;0;0;591.685;0;0.878;209.982;0;0;7.951;2.380;0;0;0;0;0;203.815;0;1188.506;
16 New3;0.460;0.068;9.210;1.843;0.000;0;0;0;0.146;0;6.275;0;21.288;0.316;2.472;0;0.001;0;0.491;0;0;0;5167.290;0;0;0;0;0;94.417;0.060;0;0;0;0;0;415.144;0;5719.480;
17 New2;0.219;0;0;0;0.000;0;0;0;0.001;0;0.463;0;45.075;0;3.664;0;0.000;0;0.170;0;0;0;904.347;0;0;0;0;0;18.934;0.023;0;0;0;0;0;172.855;0;1145.751;
18 New1;0;0;0;0;0;0;0;0;0;0;0.230;0;0.575;0;9.499;0;0.000;0;0.003;0;0;0;3.232;0;0;133.986;0;0;16.316;0.002;0;0;0;0;90.050;27.870;0;281.762;
Total;9.336;3451.785;149.902;2834.945;4.388;0;0;0;2.076;0;19.000;98.743;70.000;560.000;140.737;399.000;0.054;47.932;12613.226;24071.628;212.600;7.180;30470.000;323.456;1.190;13039.623;18771.550;9480.100;706.611;263.882;24799.740;1935.737;23907.773;165.929;24693.378;2512.780;23260.948;219025.229;
