AREA;1 AngDRC;2 Argentina;3 Bolivia;4 Brasil;5 Colombia;6 Ghana;7 IvoryCoast;8 Indonesia;9 Madagascar;10 Malasya;11 Mozambique;12 Myanmar;13 Nigeria;14 Paraguay;15 Peru;16 Uruguay;17 Venezuela;18 NewZealand;19 Oceania;20 China;21 Japan;22 Korea;23 India;24 EastAsia;25 SEAsia;26 SouthAsia;27 US;28 Canada;29 Mexico;30 LatinAmer;31 EU27;32 UK;33 Russia;34 EFTA;35 MENA;36 SSA;37 RestofWorld;Total;
1 New18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.002;0;0;0;0;0;0;0;0;0;0.001;0.003;0;0;0;0;0;0;0.006;
2 New17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005;0;0;0;0;0;0;0;0.005;
3 New16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003;0.005;0;0;0;0;0;0;0.027;0;0.066;0.000;0.007;0;0;0;0;0;0.109;
4 New15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.132;2.584;0;0;0;0;0;0;0.238;0;0.032;12.647;0;1.139;1.702;0.131;0;0.019;19.625;
5 New14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.063;0.169;0;0;0;0;0;0.673;0.020;0;0.036;0.097;0;0.091;0.169;0.382;0;2.618;6.317;
6 New13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.534;0;0;0;0;0;0;0.089;0;0;0.004;0.003;0;0;0.020;0.010;0;1.147;3.807;
7 New12;0.921;29.464;0.010;320.267;143.476;0;0;9.535;4.233;0.000;0;0.791;0;85.303;12.189;7.800;2.087;0;0.655;1325.547;34.700;0;4.566;5.350;32.165;42.264;174.374;0;5.388;15.146;6.269;0.171;0;0.007;39.114;49.000;0;2350.795;
8 New11;0.430;0.039;0.072;17.887;0.687;0;0;0.240;1.907;0;0.018;16.069;0;0;10.341;0;0.696;0;29.014;277.950;20.870;0;55.584;0.115;2.480;61.909;89.278;0;31.200;52.643;298.878;31.582;0.444;3.383;5.428;155.594;0.080;1164.817;
9 New10;2.129;201.479;0.822;1.310;0;0;0;0.017;0.195;0;0.166;0.152;0;0;7.723;0;0.026;0;17.046;33.670;18.206;0;245.189;0;0.038;146.631;88.124;1.392;35.929;85.889;1033.391;84.539;47.590;15.222;64.831;122.668;246.946;2501.321;
10 New9;1.932;133.313;15.779;0;0.159;0;0;0.019;0;0;0.182;0.026;0;0;12.232;0;0;0;23.188;65.658;2.904;0;2479.393;0;0;138.974;133.852;3.284;35.873;3.450;165.734;0;582.738;0.404;134.901;28.358;157.360;4119.712;
11 New8;0.614;2.202;0.496;0;0.017;0;0;0;0;0;0;0;0;0;16.567;0;0.003;0;117.092;25.667;0;0;99.033;0;0;206.279;296.569;3.139;30.510;1.083;0.847;0;273.403;0.100;309.348;4.000;91.440;1478.409;
12 New7;0.008;0;0.004;0;0.004;0;0;0;0;0;0;0;0;0;7.787;0;0;0;41.369;20.938;0;0;2.671;0;0;610.197;18.017;0;0.121;1.158;0.008;0;0;0.033;340.929;0.007;4.226;1047.479;
13 New6;1.821;0.211;0.507;3133.099;207.091;3.506;4.838;482.889;48.068;0.237;0;0;0;27.078;12.137;0;4.789;0;5.230;44.402;0.862;0;0;1.147;344.145;12.925;0;0;28.671;198.840;0;0;0;0;0;52.030;0;4614.523;
14 New5;19.448;0.005;11.965;6462.129;49.845;2.488;10.664;40.295;21.544;0;0.975;38.301;0;1.209;0.648;0;52.297;0;1.090;106.893;0;0;45.977;1.325;702.902;58.765;14.394;0;177.639;578.154;0;0;0;0;0;198.174;0;8597.126;
15 New4;29.131;3.866;108.594;423.026;0.834;0.006;10.233;17.278;9.841;0;28.531;153.953;0.377;4.038;0.657;0;42.038;0;34.690;0.710;0;0;802.157;0;1067.864;48.990;0;0;240.506;392.634;0;0;0;0;0;109.643;0;3529.597;
16 New3;1.812;0.007;10.510;56.692;0.053;0;0.184;5.912;5.659;0;15.048;0;17.016;0.373;1.586;0;1.911;0;91.939;0;0;0;1238.843;0;0;0.347;0;0;172.731;15.278;0;0;0;0;0;117.791;0;1753.691;
17 New2;0.818;0;0;5.267;0.000;0;0;0;0.087;0;1.271;0;62.112;0;2.371;0;0.075;0;20.744;0;0;0;16.543;0;0;0;0;0;3.288;0.542;0;0;0;0;0;47.293;0;160.412;
18 New1;0;0;0;0;0;0;0;0;0;0;0.107;0;2.368;0;6.119;0;0.002;0;0.628;0;0;0;0.045;0;0;28.983;0;0;0.028;0.068;0;0;0;0;0.110;12.654;0;51.111;
Total;59.064;370.587;148.758;10419.678;402.167;6.000;25.919;556.186;91.534;0.237;46.298;209.292;81.872;118.000;90.357;7.800;103.925;0;382.686;1907.168;80.300;0;4990.000;7.938;2149.593;1356.264;815.370;8.100;761.884;1345.029;1517.879;116.300;905.406;21.040;895.183;897.212;503.837;31398.863;
