AREA;1 AngDRC;2 Argentina;3 Bolivia;4 Brasil;5 Colombia;6 Ghana;7 IvoryCoast;8 Indonesia;9 Madagascar;10 Malasya;11 Mozambique;12 Myanmar;13 Nigeria;14 Paraguay;15 Peru;16 Uruguay;17 Venezuela;18 NewZealand;19 Oceania;20 China;21 Japan;22 Korea;23 India;24 EastAsia;25 SEAsia;26 SouthAsia;27 US;28 Canada;29 Mexico;30 LatinAmer;31 EU27;32 UK;33 Russia;34 EFTA;35 MENA;36 SSA;37 RestofWorld;Total;
1 New18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.209;0;0;0;0;0;0;0;0;0;0.002;0;0;0.002;0;0.002;0;0;0.215;
2 New17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.006;0;0;0;0;0;0;0;0.006;
3 New16;0;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0.000;0;0;0;0;0;0;0.125;0;0.071;0.000;0.026;0;0;0;0;0.000;0.223;
4 New15;0;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.002;0;0.623;0.000;0;0;1.539;0;0;0;1.601;0;0.049;0.917;0.002;2.977;0;0.000;0;0.004;7.715;
5 New14;0;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.548;0.000;0;0;0.087;0;0;0;0.384;0;0.073;0.000;0;0.120;0;0.000;0;14.301;20.514;
6 New13;0;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38.727;0;0;0;0;0;0;0;0;0;0.004;0.000;0;0.005;0;0.000;0;23.770;62.506;
7 New12;1.569;51.474;0.181;37.738;12.834;0;0;0.121;1.942;0.004;0;1.261;0;8.032;4.267;0.001;0.218;5.038;1.873;1028.231;0.000;0.001;31.253;0;4.004;52.084;1220.326;0.000;0.111;7.775;2.316;0.545;0.000;0;38.902;9.244;0;2521.345;
8 New11;0.729;133.820;0.615;0.484;0.183;0;0;0.003;1.094;0;0.012;17.087;0.558;0;3.639;0;0.074;1.672;19.084;943.098;0.000;0.020;107.390;3.595;0.202;132.409;741.435;0.024;0.352;6.525;98.293;4.565;0.013;0;2.306;63.258;0.468;2283.004;
9 New10;2.754;270.963;0.959;0.495;0;0;0;0.000;0.239;0;0.479;0.426;0.055;0;2.696;0;0.003;0.595;40.520;1040.275;0.000;0.002;415.399;33.979;0.000;330.092;45.901;3.392;1.371;10.985;257.233;5.361;22.787;0;244.342;191.131;55.251;2977.688;
10 New9;0.738;45.858;6.443;0;0.018;0;0;0.000;0;0;0.611;0.040;0;0;4.281;0;0;0.009;69.744;781.772;0.000;0;134.430;1.797;0;288.812;158.033;5.248;11.962;3.272;75.339;0;23.351;0;347.605;111.891;113.976;2185.228;
11 New8;0.216;0.951;1.196;0;0.002;0;0;0;0;0;0;0;0;0;5.801;0;0.000;0;234.942;7.913;0;0;583.270;0;0;608.826;704.106;12.856;110.641;1.076;7.565;0;9.211;0;132.732;26.941;1486.695;3934.940;
12 New7;0.003;1.026;0.039;0;0.001;0;0;0;0;0;0;0;0;0;2.726;0;0;0;23.619;468.712;0;0;152.072;0;0;1658.194;912.760;0;66.618;1.162;0.044;0;0;0;146.015;1.262;548.871;3983.124;
13 New6;3.116;8.414;0.006;101.493;27.558;1.576;76.478;6.153;15.232;2.391;0;0;0.018;5.708;4.244;0;0.492;0;0;0.501;0.000;0;0;0;116.663;0;0;0;1.733;10.826;0;0;0;0;0;32.561;0;415.162;
14 New5;30.740;4.320;7.519;809.477;9.514;8.735;170.703;0.520;7.046;0;1.032;47.733;15.079;0.217;0.227;0;5.555;0;0;1.093;0;0;51.978;0;39.833;300.780;0;0;2.235;33.695;0;0;0;0;0;285.109;0;1833.140;
15 New4;41.056;0.492;100.562;223.972;1.234;4.887;163.042;0.222;9.430;0;153.395;172.364;116.036;0.038;0.226;0;4.465;0;0.034;0.006;0;0;1465.493;0;9.136;261.521;0;0;3.493;26.722;0;0;0;0;0;871.938;0;3629.763;
16 New3;0.825;0.062;8.480;116.048;0.064;0.802;4.776;0.077;2.647;0;9.313;0;143.410;0.005;0.555;0;0.203;0;0.113;0;0;0;5212.824;0;0;0;0;0;3.691;1.569;0;0;0;0;0;1921.097;0;7426.560;
17 New2;0.291;0;0;2.998;0.000;0;0;0;0.018;0;0.814;0;123.220;0;0.822;0;0.008;0;0.054;0;0;0;5683.618;0;0;0;0;0;0.696;0.236;0;0;0;0;0;161.458;0;5974.233;
18 New1;0;0;0;0;0.000;0;0;0;0;0;0.457;0;1.341;0;2.134;0;0.000;0;0.049;0;0;0;74.475;0;0;62.860;0;0;0.281;0.030;0;0;0;0;11.293;13.698;0;166.616;
Total;82.036;517.379;126.000;1292.705;51.408;16.000;415.000;7.095;37.648;2.395;166.112;238.911;399.717;14.000;31.618;0.001;11.019;7.317;390.031;4316.708;0.001;0.022;13912.203;40.997;169.838;3695.577;3782.560;23.629;203.184;104.076;441.708;10.500;58.467;0;923.197;3689.586;2243.336;37421.981;
