AREA;1 AngDRC;2 Argentina;3 Bolivia;4 Brasil;5 Colombia;6 Ghana;7 IvoryCoast;8 Indonesia;9 Madagascar;10 Malasya;11 Mozambique;12 Myanmar;13 Nigeria;14 Paraguay;15 Peru;16 Uruguay;17 Venezuela;18 NewZealand;19 Oceania;20 China;21 Japan;22 Korea;23 India;24 EastAsia;25 SEAsia;26 SouthAsia;27 US;28 Canada;29 Mexico;30 LatinAmer;31 EU27;32 UK;33 Russia;34 EFTA;35 MENA;36 SSA;37 RestofWorld;Total;
1 New18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.036;0;0;0;0;0;0;0;0;0;0.001;0.000;0;0.004;0;0.296;0;0;0.338;
2 New17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.004;0;0;0;0;0;0;0;0.004;
3 New16;0;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;0.036;0.005;0;0;0;0;0;0;0.017;0;0.049;0.002;0.007;0;0;0;0;0.000;0.116;
4 New15;0;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;0.000;17.042;2.771;0;0;2.233;0;0;0.000;0.366;0;0.023;3.331;0.001;9.306;0.036;0.560;0;0.353;36.022;
5 New14;0;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.572;0.181;0;0;0.126;0;0;0.075;0.123;0;0.026;0.118;0;0.650;0.004;0.369;0;1.408;14.653;
6 New13;0;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.307;0;0;0;0;0;0;0.007;0;0;0.003;0.000;0;0.000;0.000;0.008;0;0.598;11.923;
7 New12;4.682;243.522;0.376;651.287;245.219;0;0;61.069;10.380;0.085;0;1.179;0;14.630;50.995;0.820;4.672;0.276;13.701;1165.087;13.739;0.425;40.413;14.671;204.966;60.046;58.693;0;26.998;44.210;11.162;0.160;0.001;0.092;17.721;114.168;1.255;3076.698;
8 New11;2.189;1.961;2.175;218.371;3.305;0;0;2.178;5.006;0;0.006;19.720;0.046;0;56.573;0;1.557;0.092;2.461;899.743;22.192;15.212;109.942;4.739;4.995;20.195;94.057;0;91.000;106.297;56.424;1.355;0.153;0.091;7.149;344.215;7.280;2100.676;
9 New10;10.301;32.396;3.851;7.046;0;0;0;0.189;1.046;0;2.021;1.367;0.005;0;64.459;0;0.058;0.033;28.488;690.651;19.556;1.357;130.449;49.265;0.005;122.762;10.906;9.562;56.514;96.663;311.645;1.557;13.407;0.364;226.031;478.555;60.971;2431.480;
10 New9;8.362;7.412;16.843;0;0.316;0;0;0.206;0;0;2.732;0.037;0;0;92.253;0;0;0.001;175.304;710.373;3.116;0;594.713;2.606;0;40.617;2.116;4.013;30.899;3.349;148.398;0;61.979;0.010;256.266;262.552;36.549;2461.022;
11 New8;2.650;2.215;9.413;0;0.027;0;0;0;0;0;0;0;0;0;62.112;0;0.006;0;209.804;166.282;0;0;280.646;0;0;34.591;20.636;9.203;11.669;0.850;5.639;0;74.525;0.002;175.969;110.347;27.652;1204.238;
12 New7;0.035;0.121;0.516;0;0.024;0;0;0;0;0;0;0;0;0;16.070;0;0;0;3.628;75.395;0;0;65.312;0;0;114.720;1.181;0;4.222;0.937;0.020;0;0;0.001;73.088;10.160;3.735;369.163;
13 New6;9.262;0.201;2.696;952.529;524.402;169.468;964.126;3671.554;150.595;44.354;0;0;10.979;7.113;52.631;0;10.929;0;136.791;8.136;0.046;0;0;3.918;301.487;226.133;0;0;128.041;315.287;0;0;0;0;0;403.071;0;8093.751;
14 New5;97.612;0.013;6.388;1190.020;168.070;938.399;1751.745;390.228;39.531;0;2.662;55.017;810.585;0.328;18.707;0;117.049;0;14.674;16.637;0;0;250.789;3.634;730.836;132.926;0.001;0;159.693;690.252;0;0;0;0;0;1246.347;0;8832.142;
15 New4;143.231;0.009;37.783;169.073;20.354;515.726;1250.335;139.441;41.339;0;65.693;209.653;362.982;0.567;29.476;0;94.040;0;30.463;0.731;0;0;1078.398;0;185.382;103.802;0.000;0;218.152;699.567;0;0;0;0;0;613.653;0;6009.850;
16 New3;7.938;0.000;3.964;20.190;1.132;86.873;18.900;65.740;11.310;0;33.199;8.184;27.581;0.212;65.791;0;4.275;0;0.395;0;0;0;1302.695;0;0;1.554;0;0;111.441;29.510;0;0;0;0;0;693.050;0;2493.935;
17 New2;3.526;0;0;0.002;0.001;0;0;0;0.077;0;2.483;0;18.354;0.044;14.853;0;0.169;0;0.055;0;0;0;218.456;0;0;0;0;0;1.412;2.865;0;0;0;0;0;319.852;0;582.147;
18 New1;0;0;0;0;0.000;0;0;0;0;0;1.240;0;0.381;0;20.620;0;0.005;0;0.006;0;0;0;3.835;0;0;4.441;0;0;0.572;0.056;0;0;0;0;35.372;49.329;0;115.857;
Total;289.787;287.850;84.006;3208.518;962.849;1710.466;3985.106;4330.604;259.283;44.439;110.036;295.157;1230.912;22.894;544.539;0.820;232.761;0.401;615.768;3773.029;61.606;16.995;4075.647;81.193;1427.671;861.787;187.672;23.284;840.615;1989.947;536.738;3.080;160.025;0.601;792.829;4645.298;139.801;37834.014;
