Scenario,Approach,parameter,Iteration,Country,Club,tag,EV,EV_previous_round,Max_Iteration,Bool
Scenario_D,Realistic_wo_china,qoes,0,peru,inside,producer,-24.605052947998,0,4,No
Scenario_D,Diplomatic,qo,18,venezuela,outside,non-producer,-17.1831932067871,43.4174194335938,49,No
Scenario_D,Diplomatic,qo,19,mozambique,outside,non-producer,-5.81015872955322,-6.15039587020874,49,No
Scenario_D,Idealist,qxw,4,indonesia,inside,producer,12.9015312194824,25.1018257141113,5,No
Scenario_D,Diplomatic,qo,46,colombia,outside,producer,-1297.37756347656,-144.753997802734,49,No
Scenario_D,Diplomatic,qxw,20,uruguay,inside,non-producer,17.0362854003906,22.4721717834473,49,No
Scenario_D,Diplomatic,qxw,48,malasya,outside,producer,58.5973129272461,60.4874420166016,49,No
Scenario_D,Idealist,qo,2,brasil,outside,producer,543.268798828125,-5894.57373046875,6,No
Scenario_D,Diplomatic,qxw,40,venezuela,outside,non-producer,-1.81650340557098,7.34677648544312,49,No
Scenario_D,Idealist,qxw,4,ssa,inside,non-producer,138.235916137695,118.900054931641,5,No
Scenario_D,Diplomatic,qxw,16,india,outside,non-producer,-106.460250854492,-97.869499206543,49,No
Scenario_D,Diplomatic,qxw,21,latinamer,outside,non-producer,-699.45556640625,-720.722534179688,49,No
Scenario_D,Diplomatic,qo,29,ssa,outside,non-producer,-242.223968505859,-102.525924682617,49,No
Scenario_D,Realistic_wi_china,qoes,2,oceania,inside,non-producer,-223.891555786133,5.87711334228516,5,No
Scenario_D,Diplomatic,qxw,25,uruguay,inside,non-producer,22.4721717834473,40.9064979553223,49,No
Scenario_D,Realistic_wo_china,qo,0,uruguay,outside,non-producer,0.415789306163788,0,5,No
Scenario_D,Diplomatic,qxw,12,paraguay,inside,producer,-96.9669799804688,-56.1526374816895,49,No
Scenario_D,Diplomatic,qxw,35,india,outside,non-producer,-46.1230392456055,-106.460250854492,49,No
Scenario_D,Diplomatic,qxw,18,myanmar,outside,non-producer,-0.93418961763382,0.973974227905273,49,No
Scenario_D,Diplomatic,qo,16,ssa,outside,non-producer,-141.823120117188,-242.223968505859,49,No
Scenario_D,Diplomatic,qo,5,colombia,outside,producer,-98.310791015625,-1306.982421875,49,No
Scenario_D,Diplomatic,qxw,16,ivorycoast,inside,producer,-568.1044921875,-562.782592773438,49,No
Scenario_D,Diplomatic,qo,31,uruguay,outside,non-producer,-13.1955184936523,-182.111877441406,49,No
Scenario_D,Realistic_wi_china,qoes,1,india,outside,non-producer,-28.8385200500488,25.7244510650635,5,No
Scenario_D,Diplomatic,qo,39,myanmar,outside,non-producer,3.10699200630188,10.1785316467285,49,No
Scenario_D,Idealist,qxw,4,seasia,inside,non-producer,184.714599609375,182.165435791016,5,No
Scenario_D,Diplomatic,qxw,13,uruguay,inside,non-producer,22.4721717834473,40.9064979553223,49,No
Scenario_D,Diplomatic,qxw,22,us,inside,non-producer,869.451721191406,1122.2392578125,49,No
Scenario_D,Realistic_wo_china,qoes,3,mozambique,outside,non-producer,-6.53243494033813,-5.09742593765259,4,No
Scenario_D,Realistic_wi_china,qoes,2,ghana,inside,producer,80.0890502929688,124.160743713379,5,No
Scenario_D,Diplomatic,qxw,45,india,outside,non-producer,-97.869499206543,-46.1230392456055,49,No
Scenario_D,Diplomatic,qo,38,eastasia,outside,non-producer,-14.409387588501,-92.0777969360352,49,No
Scenario_D,Diplomatic,qxw,37,ivorycoast,inside,producer,-568.1044921875,-562.782592773438,49,No
Scenario_D,Diplomatic,qxw,5,southasia,outside,non-producer,-20.9731025695801,-16.7815780639648,49,No
Scenario_D,Idealist,qxw,0,canada,outside,non-producer,18.5586719512939,0,5,No
Scenario_D,Realistic_wi_china,qxw,4,restofworld,outside,non-producer,-227.473175048828,-228.498977661133,5,No
Scenario_D,Diplomatic,qxw,36,ivorycoast,outside,producer,-562.782592773438,-1107.47509765625,49,No
Scenario_D,Diplomatic,qxw,31,us,inside,non-producer,869.451721191406,1122.2392578125,49,No
Scenario_D,Diplomatic,qo,32,japan,inside,non-producer,-234.840270996094,-128.697265625,49,No
Scenario_D,Diplomatic,qoes,1,venezuela,outside,non-producer,223.614273071289,3.79654216766357,4,No
Scenario_D,Diplomatic,qo,14,canada,inside,non-producer,248.291687011719,169.391342163086,49,No
Scenario_D,Diplomatic,qxw,39,bolivia,inside,producer,-23.2140998840332,-25.7596988677979,49,No
Scenario_D,Diplomatic,qxw,37,bolivia,inside,producer,-26.6108856201172,-23.2140998840332,49,No
Scenario_D,Diplomatic,qo,41,bolivia,outside,producer,69.0014343261719,-288.1748046875,49,No
Scenario_D,Diplomatic,qxw,16,russia,outside,non-producer,-2.8245484828949,2.50136804580688,49,No
Scenario_D,Diplomatic,qxw,27,ivorycoast,outside,producer,-562.782592773438,-1107.47509765625,49,No
Scenario_D,Realistic_wo_china,qxw,0,newzealand,outside,non-producer,1.55786085128784,0,5,No
Scenario_D,Diplomatic,qo,47,oceania,inside,non-producer,203.623107910156,125.556121826172,49,No
Scenario_D,Diplomatic,qo,47,india,outside,non-producer,-50.9902954101562,-109.11205291748,49,No
Scenario_D,Realistic_wi_china,qoes,0,ssa,outside,non-producer,24.1116046905518,0,5,No
Scenario_D,Diplomatic,qxw,44,nigeria,outside,non-producer,9.95579433441162,-6.07343292236328,49,No
Scenario_D,Diplomatic,qxw,25,eu27,inside,non-producer,1028.39208984375,1195.11376953125,49,No
Scenario_D,Diplomatic,qo,22,ssa,outside,non-producer,-239.584823608398,-4.15243911743164,49,No
Scenario_D,Diplomatic,qo,16,ghana,inside,producer,-5.03515338897705,4.14716148376465,49,No
Scenario_D,Diplomatic,qxw,34,indonesia,outside,producer,47.2986297607422,56.9586563110352,49,No
Scenario_D,Diplomatic,qo,29,mexico,inside,non-producer,162.4677734375,199.00895690918,49,No
Scenario_D,Diplomatic,qoes,2,madagascar,outside,non-producer,-18.4611530303955,-8.1558084487915,4,No
Scenario_D,Idealist,qxw,0,ghana,inside,producer,-195.701995849609,0,5,No
Scenario_D,Diplomatic,qo,1,india,outside,non-producer,78.0878372192383,25.7244510650635,49,No
Scenario_D,Diplomatic,qo,48,seasia,outside,non-producer,-379.536804199219,-422.000274658203,49,No
Scenario_D,Diplomatic,qo,45,angdrc,outside,producer,34.0325012207031,46.50732421875,49,No
Scenario_D,Diplomatic,qo,24,bolivia,outside,producer,89.1233062744141,-6.0911111831665,49,No
Scenario_D,Diplomatic,qxw,38,myanmar,outside,non-producer,0.973974227905273,-1.64715051651001,49,No
